X,Y,OBJECTID,COUNTY,DESCRIPTION_BSL,DIRECTION_OP,DLAT_GIS,DLONG_GIS,LINE,MUNICIPALITY,STOP_NUM,STOP_TYPE,STREET_DIR,HEADING,IMAGE,POINT2ID
-8286508.223,4773027.775,4,Atlantic,ATLANTIC AVE AT MISSISSIPPI AVE,Ou,39.35762,-74.43897,509,ATLANTIC CITY,10065,FS,E,,,202; 174; 228
-8286252.99,4773172.292,10,Atlantic,ATLANTIC AVE AT ARKANSAS AVE,Ou,39.35857,-74.43663,509,ATLANTIC CITY,10066,FS,E,,,"	4; 93; 174; 26962"
-8285948.058,4773319.025,17,Atlantic,ACROSS ATLANTIC AVE AT OHIO AVE,Ou,39.35966,-74.43395,509,ATLANTIC CITY,10067,NS,E,"""Pizza""",,85; 93; 441
-8285114.924,4773766.904,40,Atlantic,ATLANTIC AVE AT S CAROLINA AVE,Ou,39.3627,-74.42642,505,ATLANTIC CITY,10072,FS,E,,,69; 412; 428
-8285346.344,4773668.117,69,Atlantic,ATLANTIC AVE AT TENNESSEE AVE,In,39.36205,-74.42852,554,ATLANTIC CITY,10086,FS,W,,,40; 77; 224
-8286051.539,4773290.73,77,Atlantic,ATLANTIC AVE AT NEW YORK AVE,In,39.36163,-74.4296,554,ATLANTIC CITY,10087,FS,W,,,69; 85; 225
-8285761.53,4773445.145,85,Atlantic,ATLANTIC AVE AT MARTIN LUTHER KING BLVD,In,39.36053,-74.43227,554,ATLANTIC CITY,10089,FS,W,"""Home""",..\images\icons8-home.svg,17; 77
-8286095.259,4773438.905,93,Atlantic,ON ATLANTIC AVE AT OHIO AVE,In,39.35948,-74.43489,554,ATLANTIC CITY,10090,FS,W,,,10; 17; 441
-8286094.146,4774245.142,162,Atlantic,ADRIATIC AVE AT MARTIN LUTHER KING BLVD,In,39.36609,-74.43526,505,ATLANTIC CITY,10038,FS,E,,,169; 475; 477
-8285665.396,4774466.737,165,Atlantic,ADRIATIC AVE AT TENNESSEE AVE,In,39.36763,-74.43141,505,ATLANTIC CITY,10041,FS,E,,,169; 224; 470; 1004
-8285886.841,4774377.899,169,Atlantic,ADRIATIC AVE AT NEW YORK AVE,Ou,39.36697,-74.43337,505,ATLANTIC CITY,10045,FS,W,,,162; 165; 228; 469
-8287039.505,4773031.349,173,Atlantic,ARCTIC AVE AT TEXAS AVE,Ou,39.35767,-74.44376,504,ATLANTIC CITY,10052,FS,E,,,174
-8286506.694,4773310.47,174,Atlantic,ARCTIC AVE AT CHRISTOPHER COLUMBUS BLVD,Ou,39.35962,-74.43898,504,ATLANTIC CITY,10054,NS,E,,,4; 10; 173; 228
-8286781.029,4772887.607,202,Atlantic,ATLANTIC AVE AT FLORIDA AVE,Ou,39.35663,-74.44141,509,ATLANTIC CITY,10064,FS,E,,,4
-8285497.971,4774103.476,224,Atlantic,BALTIC AVE AT TENNESSEE AVE,In,39.36507,-74.42988,504,ATLANTIC CITY,10109,NS,W,,,69; 165; 225; 428
-8285637.224,4774030.431,225,Atlantic,BALTIC AVE AT NEW YORK AVE,In,39.36456,-74.43113,504,ATLANTIC CITY,10110,NS,W,,,77; 224; 400
-8286680.226,4773481.552,228,Atlantic,FAIRMOUNT AVE AT MISSOURI AVE,In,39.36075,-74.4405,504,ATLANTIC CITY,10114,FS,W,"""Train""",,4; 477
-8285728.545,4774188.921,400,Atlantic,NEW YORK AVE AT MEDITERRANEAN AVE,In,39.36567,-74.432,504,ATLANTIC CITY,10165,NS,N,,,169; 225; 477
-8285250.155,4774239.898,405,Atlantic,NORTH CAROLINA AVE AT BALTIC AVE,In,39.36607,-74.42759,505,ATLANTIC CITY,10167,NS,S,,,412; 224
-8285041.819,4773841.45,412,Atlantic,NORTH CAROLINA AVE AT ATLANTIC AVE,In,39.36327,-74.4258,554,ATLANTIC CITY,10169,NS,S,,,40; 405
-8285349.529,4774142.706,428,Atlantic,SOUTH CAROLINA AVE AT BALTIC AVE,Ou,39.36536,-74.42857,505,ATLANTIC CITY,10181,NS,N,,,40; 224; 405; 430
-8285463.656,4773602.364,441,Atlantic,GATE #6 INSIDE AC BUS TERMINAL,In,39.36037,-74.43552,554,ATLANTIC CITY,10192,TM,E,,,17; 93; 477
-8286168.245,4773962.568,477,Atlantic,MEDITERRANEAN AVE AT INDIANA AVE#,In,39.36415,-74.43594,505,ATLANTIC CITY,10236,FS,E,,,162; 419; 441
-8286154.908,4772960.073,26962,Atlantic,PACIFIC AVE AT S ARKANSAS AVE,Ou,39.35714,-74.43579,511,ATLANTIC CITY,31281,NS,W,,,10
